,Close
2003-05-15,4.772
2003-05-16,4.782
2003-05-19,4.812
2003-05-20,4.764
2003-05-21,4.717
2003-05-22,4.654
2003-05-23,4.639
2003-05-27,4.619
2003-05-28,4.634
2003-05-29,4.575
2003-05-30,4.533
2003-06-02,4.508
2003-06-03,4.51
2003-06-04,4.5
2003-06-05,4.5
2003-06-06,4.545
2003-06-09,4.518
2003-06-10,4.47
2003-06-11,4.5
2003-06-12,4.505
2003-06-13,4.575
2003-06-16,4.612
2003-06-17,4.61
2003-06-18,4.558
2003-06-19,4.57
2003-06-20,4.528
2003-06-23,4.558
2003-06-24,4.515
2003-06-25,4.565
2003-06-26,4.523
2003-06-27,4.505
2003-06-30,4.557
2003-07-01,4.574
2003-07-02,4.634
2003-07-03,4.682
2003-07-07,4.728
2003-07-08,4.736
2003-07-09,4.816
2003-07-10,4.808
2003-07-11,4.798
2003-07-14,4.79
2003-07-15,4.651
2003-07-16,4.656
2003-07-17,4.67
2003-07-18,4.724
2003-07-21,4.744
2003-07-22,4.784
2003-07-23,5.064
2003-07-24,5.105
2003-07-25,5.07
2003-07-28,5.19
2003-07-29,5.162
2003-07-30,5.06
2003-07-31,5.12
2003-08-01,5.097
2003-08-04,5.02
2003-08-05,4.94
2003-08-06,4.97
2003-08-07,5.038
2003-08-08,4.992
2003-08-11,5.0
2003-08-12,4.862
2003-08-13,5.03
2003-08-14,5.035
2003-08-15,4.927
2003-08-18,4.927
2003-08-19,4.995
2003-08-20,5.022
2003-08-21,4.945
2003-08-22,4.997
2003-08-25,4.992
2003-08-26,5.002
2003-08-27,5.131
2003-08-28,5.128
2003-08-29,5.109
2003-09-02,4.988
2003-09-03,5.06
2003-09-04,5.016
2003-09-05,5.129
2003-09-08,5.089
2003-09-09,5.247
2003-09-10,5.247
2003-09-11,5.327
2003-09-12,5.199
2003-09-15,5.193
2003-09-16,5.213
2003-09-17,5.279
2003-09-18,5.255
2003-09-19,5.282
2003-09-22,5.265
2003-09-23,5.235
2003-09-24,5.302
2003-09-25,5.214
2003-09-26,5.137
2003-09-29,5.075
2003-09-30,5.142
2003-10-01,5.105
2003-10-02,5.1
2003-10-03,4.835
2003-10-06,4.815
2003-10-07,4.88
2003-10-08,4.87
2003-10-09,4.842
2003-10-10,4.91
2003-10-13,4.98
2003-10-14,4.932
2003-10-15,4.947
2003-10-16,4.922
2003-10-17,4.94
2003-10-20,5.005
2003-10-21,5.068
2003-10-22,5.135
2003-10-23,5.172
2003-10-24,5.165
2003-10-27,5.192
2003-10-28,5.097
2003-10-29,5.142
2003-10-30,5.135
2003-10-31,5.065
2003-11-03,4.927
2003-11-04,5.03
2003-11-05,4.985
2003-11-06,4.957
2003-11-07,5.058
2003-11-10,5.09
2003-11-11,5.067
2003-11-12,5.335
2003-11-13,5.295
2003-11-14,5.415
2003-11-17,5.227
2003-11-18,5.367
